Notes,County,County Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,"Brunswick County, NC",37019,All other non-drug and non-alcohol causes,O,1396,126953,1099.62
,"Buncombe County, NC",37021,Drug-induced causes,D,362,256088,141.358
,"Buncombe County, NC",37021,Alcohol-induced causes,A,72,256088,28.115
,"Buncombe County, NC",37021,All other non-drug and non-alcohol causes,O,2604,256088,1016.838
,"Burke County, NC",37023,Drug-induced causes,D,206,88851,231.849
,"Burke County, NC",37023,Alcohol-induced causes,A,27,88851,30.388
,"Burke County, NC",37023,All other non-drug and non-alcohol causes,O,1043,88851,1173.875
,"Cabarrus County, NC",37025,Drug-induced causes,D,243,201590,120.542
,"Cabarrus County, NC",37025,Alcohol-induced causes,A,24,201590,11.905
,"Cabarrus County, NC",37025,All other non-drug and non-alcohol causes,O,1493,201590,740.612
,"Caldwell County, NC",37027,Drug-induced causes,D,212,81449,260.286
,"Caldwell County, NC",37027,Alcohol-induced causes,A,21,81449,25.783
,"Caldwell County, NC",37027,All other non-drug and non-alcohol causes,O,986,81449,1210.573
,"Camden County, NC",37029,Drug-induced causes,D,17,10418,Unreliable
,"Camden County, NC",37029,All other non-drug and non-alcohol causes,O,96,10418,921.482
,"Carteret County, NC",37031,Drug-induced causes,D,164,68890,238.061
,"Carteret County, NC",37031,Alcohol-induced causes,A,20,68890,29.032
,"Carteret County, NC",37031,All other non-drug and non-alcohol causes,O,803,68890,1165.626
,"Caswell County, NC",37033,Drug-induced causes,D,51,22910,222.61
,"Caswell County, NC",37033,All other non-drug and non-alcohol causes,O,289,22910,1261.458
,"Catawba County, NC",37035,Drug-induced causes,D,216,156459,138.055
,"Catawba County, NC",37035,Alcohol-induced causes,A,40,156459,25.566
,"Catawba County, NC",37035,All other non-drug and non-alcohol causes,O,1636,156459,1045.641
,"Chatham County, NC",37037,Drug-induced causes,D,95,72243,131.501
,"Chatham County, NC",37037,Alcohol-induced causes,A,15,72243,Unreliable
,"Chatham County, NC",37037,All other non-drug and non-alcohol causes,O,671,72243,928.81
,"Cherokee County, NC",37039,Drug-induced causes,D,61,27905,218.599
,"Cherokee County, NC",37039,All other non-drug and non-alcohol causes,O,332,27905,1189.751
,"Chowan County, NC",37041,Drug-induced causes,D,45,14383,312.869
,"Chowan County, NC",37041,All other non-drug and non-alcohol causes,O,183,14383,1272.335
,"Clay County, NC",37043,Drug-induced causes,D,26,10915,238.204
,"Clay County, NC",37043,All other non-drug and non-alcohol causes,O,144,10915,1319.285
,"Cleveland County, NC",37045,Drug-induced causes,D,163,97144,167.792
,"Cleveland County, NC",37045,Alcohol-induced causes,A,17,97144,Unreliable
,"Cleveland County, NC",37045,All other non-drug and non-alcohol causes,O,1241,97144,1277.485
,"Columbus County, NC",37047,Drug-induced causes,D,93,56505,164.587
,"Columbus County, NC",37047,Alcohol-induced causes,A,11,56505,Unreliable
,"Columbus County, NC",37047,All other non-drug and non-alcohol causes,O,713,56505,1261.835
,"Craven County, NC",37049,Drug-induced causes,D,233,103445,225.24
,"Craven County, NC",37049,Alcohol-induced causes,A,37,103445,35.768
,"Craven County, NC",37049,All other non-drug and non-alcohol causes,O,1132,103445,1094.301
,"Cumberland County, NC",37051,Drug-induced causes,D,416,327127,127.168
,"Cumberland County, NC",37051,Alcohol-induced causes,A,70,327127,21.398
,"Cumberland County, NC",37051,All other non-drug and non-alcohol causes,O,2556,327127,781.348
,"Currituck County, NC",37053,Drug-induced causes,D,43,25809,166.609
,"Currituck County, NC",37053,All other non-drug and non-alcohol causes,O,224,25809,867.914
,"Dare County, NC",37055,Drug-induced causes,D,69,35964,191.859
,"Dare County, NC",37055,Alcohol-induced causes,A,13,35964,Unreliable
,"Dare County, NC",37055,All other non-drug and non-alcohol causes,O,362,35964,1006.562
,"Davidson County, NC",37057,Drug-induced causes,D,284,164926,172.198
,"Davidson County, NC",37057,Alcohol-induced causes,A,33,164926,20.009
,"Davidson County, NC",37057,All other non-drug and non-alcohol causes,O,1735,164926,1051.987
,"Davie County, NC",37059,Drug-induced causes,D,98,42013,233.261
,"Davie County, NC",37059,All other non-drug and non-alcohol causes,O,508,42013,1209.15
,"Duplin County, NC",37061,Drug-induced causes,D,74,58969,125.49
,"Duplin County, NC",37061,Alcohol-induced causes,A,13,58969,Unreliable
,"Duplin County, NC",37061,All other non-drug and non-alcohol causes,O,549,58969,930.998
,"Durham County, NC",37063,Drug-induced causes,D,249,306212,81.316
,"Durham County, NC",37063,Alcohol-induced causes,A,31,306212,10.124
,"Durham County, NC",37063,All other non-drug and non-alcohol causes,O,1974,306212,644.651
,"Edgecombe County, NC",37065,Drug-induced causes,D,136,53318,255.073
,"Edgecombe County, NC",37065,Alcohol-induced causes,A,16,53318,Unreliable
,"Edgecombe County, NC",37065,All other non-drug and non-alcohol causes,O,669,53318,1254.736
,"Forsyth County, NC",37067,Drug-induced causes,D,474,371511,127.587
,"Forsyth County, NC",37067,Alcohol-induced causes,A,61,371511,16.419
,"Forsyth County, NC",37067,All other non-drug and non-alcohol causes,O,3289,371511,885.304
,"Franklin County, NC",37069,Drug-induced causes,D,84,64705,129.82
,"Franklin County, NC",37069,Alcohol-induced causes,A,19,64705,Unreliable
,"Franklin County, NC",37069,All other non-drug and non-alcohol causes,O,574,64705,887.103
,"Gaston County, NC",37071,Drug-induced causes,D,293,216965,135.045
,"Gaston County, NC",37071,Alcohol-induced causes,A,42,216965,19.358
,"Gaston County, NC",37071,All other non-drug and non-alcohol causes,O,2283,216965,1052.243
,"Gates County, NC",37073,Drug-induced causes,D,31,11478,270.082
,"Gates County, NC",37073,All other non-drug and non-alcohol causes,O,119,11478,1036.766
,"Graham County, NC",37075,Drug-induced causes,D,22,8558,257.069
,"Graham County, NC",37075,All other non-drug and non-alcohol causes,O,103,8558,1203.552
,"Granville County, NC",37077,Drug-induced causes,D,94,59031,159.238
,"Granville County, NC",37077,Alcohol-induced causes,A,14,59031,Unreliable
,"Granville County, NC",37077,All other non-drug and non-alcohol causes,O,532,59031,901.221
,"Greene County, NC",37079,Drug-induced causes,D,37,21168,174.792
,"Greene County, NC",37079,All other non-drug and non-alcohol causes,O,204,21168,963.719
,"Guilford County, NC",37081,Drug-induced causes,D,645,521330,123.722
,"Guilford County, NC",37081,Alcohol-induced causes,A,111,521330,21.292
,"Guilford County, NC",37081,All other non-drug and non-alcohol causes,O,4354,521330,835.172
,"Halifax County, NC",37083,Drug-induced causes,D,102,51766,197.041
,"Halifax County, NC",37083,Alcohol-induced causes,A,12,51766,Unreliable
,"Halifax County, NC",37083,All other non-drug and non-alcohol causes,O,656,51766,1267.241
,"Harnett County, NC",37085,Drug-induced causes,D,145,130881,110.788
,"Harnett County, NC",37085,Alcohol-induced causes,A,20,130881,15.281
,"Harnett County, NC",37085,All other non-drug and non-alcohol causes,O,979,130881,748.008
,"Haywood County, NC",37087,Drug-induced causes,D,133,60682,219.175
,"Haywood County, NC",37087,Alcohol-induced causes,A,22,60682,36.255
,"Haywood County, NC",37087,All other non-drug and non-alcohol causes,O,760,60682,1252.431
,"Henderson County, NC",37089,Drug-induced causes,D,192,114209,168.113
,"Henderson County, NC",37089,Alcohol-induced causes,A,21,114209,18.387
,"Henderson County, NC",37089,All other non-drug and non-alcohol causes,O,1375,114209,1203.933
,"Hertford County, NC",37091,Drug-induced causes,D,45,24136,186.443
,"Hertford County, NC",37091,All other non-drug and non-alcohol causes,O,263,24136,1089.659
,"Hoke County, NC",37093,Drug-induced causes,D,62,53262,116.406
,"Hoke County, NC",37093,All other non-drug and non-alcohol causes,O,314,53262,589.539
,"Hyde County, NC",37095,Drug-induced causes,D,12,5517,Unreliable
,"Hyde County, NC",37095,All other non-drug and non-alcohol causes,O,67,5517,1214.428
,"Iredell County, NC",37097,Drug-induced causes,D,244,172916,141.109
,"Iredell County, NC",37097,Alcohol-induced causes,A,27,172916,15.615
,"Iredell County, NC",37097,All other non-drug and non-alcohol causes,O,1563,172916,903.907
,"Jackson County, NC",37099,Drug-induced causes,D,75,42241,177.553
,"Jackson County, NC",37099,Alcohol-induced causes,A,15,42241,Unreliable
,"Jackson County, NC",37099,All other non-drug and non-alcohol causes,O,415,42241,982.458
,"Johnston County, NC",37101,Drug-induced causes,D,254,191450,132.672
,"Johnston County, NC",37101,Alcohol-induced causes,A,37,191450,19.326
,"Johnston County, NC",37101,All other non-drug and non-alcohol causes,O,1483,191450,774.615
,"Jones County, NC",37103,Drug-induced causes,D,22,9845,223.464
,"Jones County, NC",37103,All other non-drug and non-alcohol causes,O,106,9845,1076.689
,"Lee County, NC",37105,Drug-induced causes,D,111,59616,186.192
,"Lee County, NC",37105,Alcohol-induced causes,A,18,59616,Unreliable
,"Lee County, NC",37105,All other non-drug and non-alcohol causes,O,535,59616,897.41
,"Lenoir County, NC",37107,Drug-induced causes,D,111,57307,193.694
,"Lenoir County, NC",37107,Alcohol-induced causes,A,17,57307,Unreliable
,"Lenoir County, NC",37107,All other non-drug and non-alcohol causes,O,713,57307,1244.176
,"Lincoln County, NC",37109,Drug-induced causes,D,146,81168,179.874
,"Lincoln County, NC",37109,Alcohol-induced causes,A,24,81168,29.568
,"Lincoln County, NC",37109,All other non-drug and non-alcohol causes,O,816,81168,1005.322
,"McDowell County, NC",37111,Drug-induced causes,D,104,45075,230.727
,"McDowell County, NC",37111,Alcohol-induced causes,A,13,45075,Unreliable
,"McDowell County, NC",37111,All other non-drug and non-alcohol causes,O,538,45075,1193.566
,"Macon County, NC",37113,Drug-induced causes,D,78,34376,226.902
,"Macon County, NC",37113,Alcohol-induced causes,A,12,34376,Unreliable
,"Macon County, NC",37113,All other non-drug and non-alcohol causes,O,484,34376,1407.959
,"Madison County, NC",37115,Drug-induced causes,D,49,21340,229.616
,"Madison County, NC",37115,All other non-drug and non-alcohol causes,O,248,21340,1162.137
,"Martin County, NC",37117,Drug-induced causes,D,61,23172,263.249
,"Martin County, NC",37117,Alcohol-induced causes,A,10,23172,Unreliable
,"Martin County, NC",37117,All other non-drug and non-alcohol causes,O,311,23172,1342.137
,"Mecklenburg County, NC",37119,Drug-induced causes,D,730,1054835,69.205
,"Mecklenburg County, NC",37119,Alcohol-induced causes,A,158,1054835,14.979
,"Mecklenburg County, NC",37119,All other non-drug and non-alcohol causes,O,6204,1054835,588.149
,"Mitchell County, NC",37121,Drug-induced causes,D,35,15126,231.39
,"Mitchell County, NC",37121,All other non-drug and non-alcohol causes,O,221,15126,1461.06
,"Montgomery County, NC",37123,Drug-induced causes,D,46,27418,167.773
,"Montgomery County, NC",37123,All other non-drug and non-alcohol causes,O,293,27418,1068.641
,"Moore County, NC",37125,Drug-induced causes,D,167,95776,174.365
,"Moore County, NC",37125,Alcohol-induced causes,A,16,95776,Unreliable
,"Moore County, NC",37125,All other non-drug and non-alcohol causes,O,1155,95776,1205.939
,"Nash County, NC",37127,Drug-induced causes,D,184,94005,195.734
,"Nash County, NC",37127,Alcohol-induced causes,A,28,94005,29.786
,"Nash County, NC",37127,All other non-drug and non-alcohol causes,O,1057,94005,1124.408
,"New Hanover County, NC",37129,Drug-induced causes,D,221,223483,98.889
,"New Hanover County, NC",37129,Alcohol-induced causes,A,40,223483,17.898
,"New Hanover County, NC",37129,All other non-drug and non-alcohol causes,O,1997,223483,893.58
,"Northampton County, NC",37131,Drug-induced causes,D,44,20000,220
,"Northampton County, NC",37131,All other non-drug and non-alcohol causes,O,287,20000,1435
,"Onslow County, NC",37133,Drug-induced causes,D,235,187136,125.577
,"Onslow County, NC",37133,Alcohol-induced causes,A,28,187136,14.962
,"Onslow County, NC",37133,All other non-drug and non-alcohol causes,O,1191,187136,636.436
,"Orange County, NC",37135,Drug-induced causes,D,116,141796,81.808
,"Orange County, NC",37135,Alcohol-induced causes,A,29,141796,20.452
,"Orange County, NC",37135,All other non-drug and non-alcohol causes,O,821,141796,579.001
,"Pamlico County, NC",37137,Drug-induced causes,D,27,12821,210.592
,"Pamlico County, NC",37137,All other non-drug and non-alcohol causes,O,166,12821,1294.751
,"Pasquotank County, NC",37139,Drug-induced causes,D,83,39864,208.208
,"Pasquotank County, NC",37139,Alcohol-induced causes,A,13,39864,Unreliable
,"Pasquotank County, NC",37139,All other non-drug and non-alcohol causes,O,428,39864,1073.65
,"Pender County, NC",37141,Drug-induced causes,D,94,59090,159.079
,"Pender County, NC",37141,Alcohol-induced causes,A,17,59090,Unreliable
,"Pender County, NC",37141,All other non-drug and non-alcohol causes,O,606,59090,1025.554
,"Perquimans County, NC",37143,Drug-induced causes,D,34,13335,254.968
,"Perquimans County, NC",37143,All other non-drug and non-alcohol causes,O,176,13335,1319.835
,"Person County, NC",37145,Drug-induced causes,D,63,39284,160.371
,"Person County, NC",37145,All other non-drug and non-alcohol causes,O,436,39284,1109.867
,"Pitt County, NC",37147,Drug-induced causes,D,289,177220,163.074
,"Pitt County, NC",37147,Alcohol-induced causes,A,32,177220,18.057
,"Pitt County, NC",37147,All other non-drug and non-alcohol causes,O,1245,177220,702.517
,"Polk County, NC",37149,Drug-induced causes,D,51,20334,250.811
,"Polk County, NC",37149,All other non-drug and non-alcohol causes,O,298,20334,1465.526
,"Randolph County, NC",37151,Drug-induced causes,D,303,143416,211.273
,"Randolph County, NC",37151,Alcohol-induced causes,A,29,143416,20.221
,"Randolph County, NC",37151,All other non-drug and non-alcohol causes,O,1506,143416,1050.092
,"Richmond County, NC",37153,Drug-induced causes,D,114,44939,253.677
,"Richmond County, NC",37153,Alcohol-induced causes,A,13,44939,Unreliable
,"Richmond County, NC",37153,All other non-drug and non-alcohol causes,O,560,44939,1246.134
,"Robeson County, NC",37155,Drug-induced causes,D,221,133235,165.872
,"Robeson County, NC",37155,Alcohol-induced causes,A,33,133235,24.768
,"Robeson County, NC",37155,All other non-drug and non-alcohol causes,O,1435,133235,1077.044
,"Rockingham County, NC",37157,Drug-induced causes,D,197,91393,215.553
,"Rockingham County, NC",37157,Alcohol-induced causes,A,25,91393,27.354
,"Rockingham County, NC",37157,All other non-drug and non-alcohol causes,O,1161,91393,1270.338
,"Rowan County, NC",37159,Drug-induced causes,D,260,139933,185.803
,"Rowan County, NC",37159,Alcohol-induced causes,A,33,139933,23.583
,"Rowan County, NC",37159,All other non-drug and non-alcohol causes,O,1619,139933,1156.982
,"Rutherford County, NC",37161,Drug-induced causes,D,204,66421,307.132
,"Rutherford County, NC",37161,Alcohol-induced causes,A,16,66421,Unreliable
,"Rutherford County, NC",37161,All other non-drug and non-alcohol causes,O,847,66421,1275.199
,"Sampson County, NC",37163,Drug-induced causes,D,125,63124,198.023
,"Sampson County, NC",37163,Alcohol-induced causes,A,16,63124,Unreliable
,"Sampson County, NC",37163,All other non-drug and non-alcohol causes,O,716,63124,1134.275
,"Scotland County, NC",37165,Drug-induced causes,D,69,35244,195.778
,"Scotland County, NC",37165,All other non-drug and non-alcohol causes,O,423,35244,1200.204
,"Stanly County, NC",37167,Drug-induced causes,D,122,60791,200.688
,"Stanly County, NC",37167,All other non-drug and non-alcohol causes,O,714,60791,1174.516
,"Stokes County, NC",37169,Drug-induced causes,D,96,46097,208.257
,"Stokes County, NC",37169,Alcohol-induced causes,A,14,46097,Unreliable
,"Stokes County, NC",37169,All other non-drug and non-alcohol causes,O,561,46097,1216.999
,"Surry County, NC",37171,Drug-induced causes,D,132,72113,183.046
,"Surry County, NC",37171,Alcohol-induced causes,A,16,72113,Unreliable
,"Surry County, NC",37171,All other non-drug and non-alcohol causes,O,904,72113,1253.588
,"Swain County, NC",37173,Drug-induced causes,D,38,14346,264.882
,"Swain County, NC",37173,All other non-drug and non-alcohol causes,O,178,14346,1240.764
,"Transylvania County, NC",37175,Drug-induced causes,D,80,33482,238.934
,"Transylvania County, NC",37175,Alcohol-induced causes,A,13,33482,Unreliable
,"Transylvania County, NC",37175,All other non-drug and non-alcohol causes,O,456,33482,1361.926
,"Tyrrell County, NC",37177,All other non-drug and non-alcohol causes,O,44,4141,1062.545
,"Union County, NC",37179,Drug-induced causes,D,144,226606,63.546
,"Union County, NC",37179,Alcohol-induced causes,A,33,226606,14.563
,"Union County, NC",37179,All other non-drug and non-alcohol causes,O,1422,226606,627.521
,"Vance County, NC",37181,Drug-induced causes,D,92,44244,207.938
,"Vance County, NC",37181,All other non-drug and non-alcohol causes,O,543,44244,1227.285
,"Wake County, NC",37183,Drug-induced causes,D,649,1046791,61.999
,"Wake County, NC",37183,Alcohol-induced causes,A,125,1046791,11.941
,"Wake County, NC",37183,All other non-drug and non-alcohol causes,O,5524,1046791,527.708
,"Warren County, NC",37185,Drug-induced causes,D,38,19907,190.888
,"Warren County, NC",37185,All other non-drug and non-alcohol causes,O,275,19907,1381.424
,"Washington County, NC",37187,Drug-induced causes,D,28,12195,229.602
,"Washington County, NC",37187,All other non-drug and non-alcohol causes,O,159,12195,1303.813
,"Watauga County, NC",37189,Drug-induced causes,D,47,53922,87.163
,"Watauga County, NC",37189,Alcohol-induced causes,A,13,53922,Unreliable
,"Watauga County, NC",37189,All other non-drug and non-alcohol causes,O,317,53922,587.886
,"Wayne County, NC",37191,Drug-induced causes,D,157,124150,126.46
,"Wayne County, NC",37191,Alcohol-induced causes,A,21,124150,16.915
,"Wayne County, NC",37191,All other non-drug and non-alcohol causes,O,1258,124150,1013.29
,"Wilkes County, NC",37193,Drug-induced causes,D,187,68740,272.04
,"Wilkes County, NC",37193,Alcohol-induced causes,A,28,68740,40.733
,"Wilkes County, NC",37193,All other non-drug and non-alcohol causes,O,853,68740,1240.908
,"Wilson County, NC",37195,Drug-induced causes,D,134,81661,164.093
,"Wilson County, NC",37195,Alcohol-induced causes,A,25,81661,30.614
,"Wilson County, NC",37195,All other non-drug and non-alcohol causes,O,795,81661,973.537
,"Yadkin County, NC",37197,Drug-induced causes,D,90,37532,239.795
,"Yadkin County, NC",37197,All other non-drug and non-alcohol causes,O,430,37532,1145.689
,"Yancey County, NC",37199,Drug-induced causes,D,48,17678,271.524
,"Yancey County, NC",37199,All other non-drug and non-alcohol causes,O,221,17678,1250.141
,"Adams County, ND",38001,Drug-induced causes,D,10,2305,Unreliable
,"Adams County, ND",38001,All other non-drug and non-alcohol causes,O,39,2305,1691.974
,"Barnes County, ND",38003,Drug-induced causes,D,25,10926,228.812
,"Barnes County, ND",38003,All other non-drug and non-alcohol causes,O,108,10926,988.468
,"Benson County, ND",38005,Drug-induced causes,D,18,6739,Unreliable
,"Benson County, ND",38005,Alcohol-induced causes,A,11,6739,Unreliable
,"Benson County, ND",38005,All other non-drug and non-alcohol causes,O,68,6739,1009.052
,"Bottineau County, ND",38009,Drug-induced causes,D,16,6579,Unreliable
,"Bottineau County, ND",38009,All other non-drug and non-alcohol causes,O,97,6579,1474.388
,"Bowman County, ND",38011,All other non-drug and non-alcohol causes,O,25,3241,771.367
,"Burke County, ND",38013,All other non-drug and non-alcohol causes,O,24,2198,1091.902
,"Burleigh County, ND",38015,Drug-induced causes,D,160,94487,169.335
,"Burleigh County, ND",38015,Alcohol-induced causes,A,17,94487,Unreliable
,"Burleigh County, ND",38015,All other non-drug and non-alcohol causes,O,716,94487,757.776
,"Cass County, ND",38017,Drug-induced causes,D,216,175249,123.253
,"Cass County, ND",38017,Alcohol-induced causes,A,66,175249,37.661
,"Cass County, ND",38017,All other non-drug and non-alcohol causes,O,1113,175249,635.096
,"Cavalier County, ND",38019,All other non-drug and non-alcohol causes,O,42,3827,1097.465
,"Dickey County, ND",38021,All other non-drug and non-alcohol causes,O,72,5064,1421.801
,"Divide County, ND",38023,All other non-drug and non-alcohol causes,O,29,2413,1201.823
,"Dunn County, ND",38025,All other non-drug and non-alcohol causes,O,35,4366,801.649
,"Eddy County, ND",38027,All other non-drug and non-alcohol causes,O,49,2358,2078.032
,"Emmons County, ND",38029,Drug-induced causes,D,10,3346,Unreliable
,"Emmons County, ND",38029,All other non-drug and non-alcohol causes,O,51,3346,1524.208
,"Foster County, ND",38031,All other non-drug and non-alcohol causes,O,44,3303,1332.122
,"Golden Valley County, ND",38033,All other non-drug and non-alcohol causes,O,12,1817,Unreliable
,"Grand Forks County, ND",38035,Drug-induced causes,D,110,71083,154.749
,"Grand Forks County, ND",38035,Alcohol-induced causes,A,19,71083,Unreliable
,"Grand Forks County, ND",38035,All other non-drug and non-alcohol causes,O,491,71083,690.742
,"Grant County, ND",38037,All other non-drug and non-alcohol causes,O,28,2377,1177.955
,"Griggs County, ND",38039,All other non-drug and non-alcohol causes,O,33,2277,1449.275
,"Hettinger County, ND",38041,All other non-drug and non-alcohol causes,O,31,2629,1179.156
,"Kidder County, ND",38043,All other non-drug and non-alcohol causes,O,18,2414,Unreliable
,"LaMoure County, ND",38045,All other non-drug and non-alcohol causes,O,47,4111,1143.274
,"Logan County, ND",38047,All other non-drug and non-alcohol causes,O,33,1941,1700.155
,"McHenry County, ND",38049,Drug-induced causes,D,10,5963,Unreliable
,"McHenry County, ND",38049,All other non-drug and non-alcohol causes,O,61,5963,1022.975
,"McIntosh County, ND",38051,All other non-drug and non-alcohol causes,O,37,2656,1393.072
,"McKenzie County, ND",38053,Drug-induced causes,D,15,12621,Unreliable
,"McKenzie County, ND",38053,All other non-drug and non-alcohol causes,O,70,12621,554.631
,"McLean County, ND",38055,Drug-induced causes,D,22,9729,226.128
,"McLean County, ND",38055,All other non-drug and non-alcohol causes,O,98,9729,1007.298
,"Mercer County, ND",38057,Drug-induced causes,D,14,8694,Unreliable
,"Mercer County, ND",38057,All other non-drug and non-alcohol causes,O,76,8694,874.166
,"Morton County, ND",38059,Drug-induced causes,D,54,30809,175.273
,"Morton County, ND",38059,All other non-drug and non-alcohol causes,O,315,30809,1022.429
,"Mountrail County, ND",38061,Drug-induced causes,D,12,10242,Unreliable
,"Mountrail County, ND",38061,All other non-drug and non-alcohol causes,O,88,10242,859.207
,"Nelson County, ND",38063,All other non-drug and non-alcohol causes,O,55,2960,1858.108
,"Oliver County, ND",38065,All other non-drug and non-alcohol causes,O,11,1870,Unreliable
,"Pembina County, ND",38067,Drug-induced causes,D,17,7069,Unreliable
,"Pembina County, ND",38067,All other non-drug and non-alcohol causes,O,62,7069,877.069
,"Pierce County, ND",38069,Drug-induced causes,D,15,4267,Unreliable
,"Pierce County, ND",38069,All other non-drug and non-alcohol causes,O,52,4267,1218.655
,"Ramsey County, ND",38071,Drug-induced causes,D,25,11547,216.506
,"Ramsey County, ND",38071,All other non-drug and non-alcohol causes,O,121,11547,1047.891
,"Ransom County, ND",38073,Drug-induced causes,D,11,5404,Unreliable
,"Ransom County, ND",38073,All other non-drug and non-alcohol causes,O,92,5404,1702.443
,"Renville County, ND",38075,All other non-drug and non-alcohol causes,O,36,2550,1411.765
,"Richland County, ND",38077,Drug-induced causes,D,23,16353,140.647
,"Richland County, ND",38077,All other non-drug and non-alcohol causes,O,139,16353,849.997
,"Rolette County, ND",38079,Drug-induced causes,D,41,14659,279.692
,"Rolette County, ND",38079,Alcohol-induced causes,A,12,14659,Unreliable
,"Rolette County, ND",38079,All other non-drug and non-alcohol causes,O,131,14659,893.649
,"Sargent County, ND",38081,All other non-drug and non-alcohol causes,O,31,3890,796.915
,"Sheridan County, ND",38083,All other non-drug and non-alcohol causes,O,13,1322,Unreliable
,"Sioux County, ND",38085,All other non-drug and non-alcohol causes,O,42,4469,939.808
,"Stark County, ND",38089,Drug-induced causes,D,51,31199,163.467
,"Stark County, ND",38089,All other non-drug and non-alcohol causes,O,223,31199,714.766
,"Steele County, ND",38091,All other non-drug and non-alcohol causes,O,25,1962,1274.21
,"Stutsman County, ND",38093,Drug-induced causes,D,45,21128,212.988
,"Stutsman County, ND",38093,All other non-drug and non-alcohol causes,O,235,21128,1112.268
,"Towner County, ND",38095,All other non-drug and non-alcohol causes,O,22,2263,972.161
,"Traill County, ND",38097,Drug-induced causes,D,16,8030,Unreliable
,"Traill County, ND",38097,All other non-drug and non-alcohol causes,O,96,8030,1195.517
,"Walsh County, ND",38099,Drug-induced causes,D,30,10904,275.128
,"Walsh County, ND",38099,All other non-drug and non-alcohol causes,O,149,10904,1366.471
,"Ward County, ND",38101,Drug-induced causes,D,88,70210,125.338
,"Ward County, ND",38101,Alcohol-induced causes,A,23,70210,32.759
,"Ward County, ND",38101,All other non-drug and non-alcohol causes,O,445,70210,633.813
,"Wells County, ND",38103,All other non-drug and non-alcohol causes,O,59,4098,1439.727
,"Williams County, ND",38105,Drug-induced causes,D,49,34337,142.703
,"Williams County, ND",38105,All other non-drug and non-alcohol causes,O,222,34337,646.533
,"Adams County, OH",39001,Drug-induced causes,D,87,27907,311.75
,"Adams County, OH",39001,All other non-drug and non-alcohol causes,O,363,27907,1300.749
,"Allen County, OH",39003,Drug-induced causes,D,248,103742,239.055
,"Allen County, OH",39003,Alcohol-induced causes,A,27,103742,26.026
,"Allen County, OH",39003,All other non-drug and non-alcohol causes,O,1137,103742,1095.988
,"Ashland County, OH",39005,Drug-induced causes,D,86,53652,160.292
,"Ashland County, OH",39005,Alcohol-induced causes,A,14,53652,Unreliable
,"Ashland County, OH",39005,All other non-drug and non-alcohol causes,O,609,53652,1135.093
,"Ashtabula County, OH",39007,Drug-induced causes,D,229,98231,233.124
,"Ashtabula County, OH",39007,Alcohol-induced causes,A,21,98231,21.378
,"Ashtabula County, OH",39007,All other non-drug and non-alcohol causes,O,1169,98231,1190.052
,"Athens County, OH",39009,Drug-induced causes,D,111,66186,167.709
,"Athens County, OH",39009,Alcohol-induced causes,A,12,66186,Unreliable
,"Athens County, OH",39009,All other non-drug and non-alcohol causes,O,466,66186,704.076
,"Auglaize County, OH",39011,Drug-induced causes,D,66,45894,143.81
,"Auglaize County, OH",39011,All other non-drug and non-alcohol causes,O,501,45894,1091.646
,"Belmont County, OH",39013,Drug-induced causes,D,119,68673,173.285
,"Belmont County, OH",39013,Alcohol-induced causes,A,11,68673,Unreliable
,"Belmont County, OH",39013,All other non-drug and non-alcohol causes,O,884,68673,1287.26
,"Brown County, OH",39015,Drug-induced causes,D,129,43759,294.796
,"Brown County, OH",39015,All other non-drug and non-alcohol causes,O,517,43759,1181.471
,"Butler County, OH",39017,Drug-induced causes,D,623,377537,165.017
,"Butler County, OH",39017,Alcohol-induced causes,A,90,377537,23.839
,"Butler County, OH",39017,All other non-drug and non-alcohol causes,O,3348,377537,886.8
,"Carroll County, OH",39019,Drug-induced causes,D,65,27669,234.92
,"Carroll County, OH",39019,All other non-drug and non-alcohol causes,O,295,27669,1066.175
,"Champaign County, OH",39021,Drug-induced causes,D,118,38747,304.54
,"Champaign County, OH",39021,Alcohol-induced causes,A,12,38747,Unreliable
,"Champaign County, OH",39021,All other non-drug and non-alcohol causes,O,426,38747,1099.44
,"Clark County, OH",39023,Drug-induced causes,D,359,134786,266.348
,"Clark County, OH",39023,Alcohol-induced causes,A,47,134786,34.87
,"Clark County, OH",39023,All other non-drug and non-alcohol causes,O,1796,134786,1332.483
,"Clermont County, OH",39025,Drug-induced causes,D,393,203022,193.575
,"Clermont County, OH",39025,Alcohol-induced causes,A,45,203022,22.165
,"Clermont County, OH",39025,All other non-drug and non-alcohol causes,O,1758,203022,865.916
,"Clinton County, OH",39027,Drug-induced causes,D,77,41902,183.762
,"Clinton County, OH",39027,All other non-drug and non-alcohol causes,O,405,41902,966.541
,"Columbiana County, OH",39029,Drug-induced causes,D,227,103685,218.932
,"Columbiana County, OH",39029,Alcohol-induced causes,A,33,103685,31.827
,"Columbiana County, OH",39029,All other non-drug and non-alcohol causes,O,1300,103685,1253.798
,"Coshocton County, OH",39031,Drug-induced causes,D,75,36602,204.907
,"Coshocton County, OH",39031,All other non-drug and non-alcohol causes,O,399,36602,1090.104
,"Crawford County, OH",39033,Drug-induced causes,D,110,42083,261.388
